,dia,ponto1,ponto2,ponto3,ponto4
67,2023-05-17,0 days 08:24:00,0 days 12:05:00,0 days 13:35:00,0 days 18:07:00
68,2023-05-16,0 days 08:56:00,0 days 11:51:00,0 days 13:31:00,0 days 18:01:00
69,2023-05-15,0 days 08:30:00,0 days 12:07:00,0 days 13:44:00,0 days 18:13:00
70,2023-05-12,0 days 08:33:00,0 days 12:05:00,0 days 13:36:00,0 days 18:17:00
71,2023-05-11,0 days 08:31:00,0 days 11:55:00,0 days 13:32:00,0 days 18:03:00
72,2023-05-10,0 days 12:57:00,0 days 18:05:00,0 days 19:01:00,0 days 20:01:00
73,2023-05-09,0 days 08:33:00,0 days 12:08:00,0 days 13:43:00,0 days 18:11:00
74,2023-05-08,0 days 08:30:00,0 days 12:05:00,0 days 13:39:00,0 days 18:05:00
75,2023-05-05,0 days 08:27:00,0 days 12:15:00,0 days 13:54:00,0 days 18:15:00
76,2023-05-04,0 days 08:29:00,0 days 11:32:00,0 days 13:13:00,0 days 18:05:00
77,2023-05-03,0 days 08:29:00,0 days 12:04:00,0 days 14:09:00,0 days 18:22:00
78,2023-05-02,0 days 08:32:00,0 days 12:20:00,0 days 13:47:00,0 days 18:11:00
79,2023-04-28,0 days 08:31:00,0 days 14:30:00,0 days 15:30:00,0 days 21:00:00
80,2023-04-27,0 days 08:24:00,0 days 12:19:00,0 days 13:41:00,0 days 18:00:00
81,2023-04-26,0 days 08:33:00,0 days 12:09:00,0 days 13:41:00,0 days 17:58:00
82,2023-04-25,0 days 08:36:00,0 days 12:07:00,0 days 13:36:00,0 days 18:06:00
83,2023-04-24,0 days 08:29:00,0 days 15:00:00,0 days 15:30:00,0 days 21:23:00
84,2022-10-24,0 days 08:30:00,0 days 12:18:00,0 days 13:50:00,0 days 18:04:00
85,2022-10-21,0 days 08:28:00,0 days 12:03:00,0 days 13:32:00,0 days 18:00:00
86,2022-10-20,0 days 08:29:00,0 days 12:02:00,0 days 13:32:00,0 days 18:03:00
87,2022-10-19,0 days 08:28:00,0 days 12:02:00,0 days 13:36:00,0 days 17:57:00
88,2022-10-18,0 days 08:26:00,0 days 12:00:00,0 days 13:34:00,0 days 18:10:00
89,2022-10-17,0 days 08:28:00,0 days 11:49:00,0 days 13:25:00,0 days 18:03:00
90,2022-10-14,0 days 08:28:00,0 days 12:02:00,0 days 13:48:00,0 days 18:07:00
91,2022-10-13,0 days 08:29:00,0 days 12:03:00,0 days 13:31:00,0 days 18:00:00
92,2022-10-11,0 days 08:29:00,0 days 12:03:00,0 days 13:33:00,0 days 18:02:00
93,2022-10-10,0 days 08:28:00,0 days 12:06:00,0 days 13:42:00,0 days 18:09:00
94,2022-10-07,0 days 08:29:00,0 days 12:11:00,0 days 13:42:00,0 days 18:01:00
95,2022-10-06,0 days 08:30:00,0 days 12:27:00,0 days 13:57:00,0 days 18:05:00
96,2022-10-05,0 days 08:27:00,0 days 12:09:00,0 days 13:42:00,0 days 18:06:00
97,2022-10-04,0 days 08:29:00,0 days 12:04:00,0 days 13:37:00,0 days 18:06:00
98,2022-10-03,0 days 08:29:00,0 days 12:06:00,0 days 13:29:00,0 days 18:07:00
100,2023-10-19,0 days 08:48:00,0 days 12:18:00,0 days 13:45:00,0 days 18:00:00
101,2023-10-18,0 days 08:40:00,0 days 12:31:00,0 days 13:51:00,0 days 17:59:00
102,2023-10-17,0 days 08:33:00,0 days 12:17:00,0 days 13:32:00,0 days 18:20:00
103,2023-10-16,0 days 08:27:00,0 days 12:18:00,0 days 13:56:00,0 days 18:15:00
104,2023-10-13,0 days 08:43:00,0 days 12:18:00,0 days 14:22:00,0 days 18:10:00
105,2023-10-11,0 days 08:42:00,0 days 12:34:00,0 days 14:07:00,0 days 18:19:00
106,2023-10-10,0 days 08:37:00,0 days 12:07:00,0 days 13:44:00,0 days 18:30:00
107,2023-10-09,0 days 08:35:00,0 days 12:40:00,0 days 13:56:00,0 days 18:08:00
108,2023-10-06,0 days 08:35:00,0 days 12:21:00,0 days 14:16:00,0 days 18:03:00
109,2023-10-05,0 days 08:47:00,0 days 12:11:00,0 days 13:46:00,0 days 18:02:00
110,2023-10-04,0 days 08:33:00,0 days 12:02:00,0 days 13:36:00,0 days 18:24:00
111,2023-10-03,0 days 08:49:00,0 days 12:27:00,0 days 13:30:00,0 days 18:18:00
112,2023-10-02,0 days 08:33:00,0 days 12:24:00,0 days 13:53:00,0 days 18:05:00
113,2023-09-29,0 days 08:40:00,0 days 12:12:00,0 days 13:39:00,0 days 18:18:00
114,2023-09-28,0 days 08:46:00,0 days 12:05:00,0 days 13:52:00,0 days 18:18:00
115,2023-09-27,0 days 08:33:00,0 days 12:29:00,0 days 14:02:00,0 days 18:03:00
116,2023-09-26,0 days 08:44:00,0 days 12:51:00,0 days 14:07:00,0 days 17:24:00
117,2023-09-25,0 days 08:38:00,0 days 12:14:00,0 days 13:43:00,0 days 18:08:00
118,2023-09-22,0 days 08:33:00,0 days 12:38:00,0 days 14:18:00,0 days 18:20:00
119,2023-09-21,0 days 08:50:00,0 days 12:18:00,0 days 14:11:00,0 days 18:50:00
120,2023-09-20,0 days 08:34:00,0 days 12:28:00,0 days 14:06:00,0 days 18:06:00
121,2023-09-19,0 days 08:48:00,0 days 12:16:00,0 days 13:46:00,0 days 18:03:00
122,2023-09-18,0 days 08:38:00,0 days 12:02:00,0 days 13:41:00,0 days 18:19:00
123,2023-09-14,0 days 08:54:00,0 days 12:02:00,0 days 13:39:00,0 days 18:41:00
124,2023-09-13,0 days 08:33:00,0 days 12:35:00,0 days 14:02:00,0 days 18:00:00
125,2023-09-12,0 days 08:39:00,0 days 12:00:00,0 days 13:30:00,0 days 18:19:00
126,2023-09-11,0 days 08:42:00,0 days 12:12:00,0 days 13:35:00,0 days 18:46:00
127,2023-09-08,0 days 08:37:00,0 days 12:15:00,0 days 14:00:00,0 days 18:00:00
128,2023-09-06,0 days 08:44:00,0 days 12:59:00,0 days 14:19:00,0 days 18:33:00
129,2023-09-05,0 days 08:52:00,0 days 11:46:00,0 days 13:20:00,0 days 18:17:00
130,2023-09-04,0 days 08:30:00,0 days 12:15:00,0 days 13:48:00,0 days 18:18:00
131,2023-09-01,0 days 08:39:00,0 days 12:14:00,0 days 13:47:00,0 days 18:29:00
132,2023-08-31,0 days 08:54:00,0 days 12:03:00,0 days 13:30:00,0 days 18:16:00
133,2023-08-30,0 days 08:36:00,0 days 12:13:00,0 days 13:47:00,0 days 18:05:00
134,2023-08-29,0 days 08:50:00,0 days 12:00:00,0 days 13:29:00,0 days 18:18:00
135,2023-08-28,0 days 08:42:00,0 days 12:11:00,0 days 13:51:00,0 days 18:00:00
136,2023-08-25,0 days 08:40:00,0 days 12:24:00,0 days 13:57:00,0 days 18:17:00
137,2023-08-24,0 days 08:46:00,0 days 12:18:00,0 days 13:47:00,0 days 18:15:00
138,2023-04-20,0 days 08:45:00,0 days 12:25:00,0 days 13:52:00,0 days 17:54:00
139,2023-04-19,0 days 08:30:00,0 days 11:55:00,0 days 13:30:00,0 days 18:00:00
140,2023-04-18,0 days 08:29:00,0 days 12:13:00,0 days 13:39:00,0 days 18:13:00
141,2023-04-17,0 days 08:44:00,0 days 12:10:00,0 days 13:37:00,0 days 18:08:00
142,2023-04-14,0 days 08:30:00,0 days 12:10:00,0 days 13:46:00,0 days 18:54:00
143,2023-04-13,0 days 08:30:00,0 days 11:29:00,0 days 13:20:00,0 days 17:43:00
144,2023-04-12,0 days 08:28:00,0 days 12:09:00,0 days 13:31:00,0 days 18:26:00
145,2023-04-11,0 days 08:32:00,0 days 12:18:00,0 days 13:38:00,0 days 18:11:00
146,2023-04-10,0 days 08:34:00,0 days 12:08:00,0 days 13:36:00,0 days 18:07:00
147,2023-04-06,0 days 08:59:00,0 days 12:01:00,0 days 13:39:00,0 days 18:15:00
148,2023-04-05,0 days 08:29:00,0 days 12:08:00,0 days 13:35:00,0 days 18:39:00
149,2023-04-04,0 days 08:30:00,0 days 12:08:00,0 days 13:45:00,0 days 18:09:00
150,2023-04-03,0 days 08:28:00,0 days 11:46:00,0 days 13:15:00,0 days 18:03:00
151,2023-03-23,0 days 08:31:00,0 days 12:02:00,0 days 13:22:00,0 days 18:22:00
152,2023-03-22,0 days 08:32:00,0 days 12:10:00,0 days 14:21:00,0 days 18:41:00
153,2023-03-21,0 days 08:31:00,0 days 11:34:00,0 days 13:01:00,0 days 18:24:00
154,2023-03-20,0 days 08:33:00,0 days 12:19:00,0 days 13:48:00,0 days 18:12:00
155,2023-03-17,0 days 11:01:00,0 days 12:05:00,0 days 13:33:00,0 days 18:05:00
156,2023-03-16,0 days 08:37:00,0 days 11:53:00,0 days 13:34:00,0 days 18:11:00
157,2023-03-15,0 days 08:34:00,0 days 11:51:00,0 days 13:29:00,0 days 18:02:00
158,2023-03-14,0 days 08:29:00,0 days 12:07:00,0 days 13:25:00,0 days 18:00:00
159,2023-03-13,0 days 08:30:00,0 days 12:22:00,0 days 13:55:00,0 days 18:23:00
160,2023-03-10,0 days 08:42:00,0 days 12:07:00,0 days 13:39:00,0 days 18:08:00
161,2023-03-09,0 days 08:29:00,0 days 12:20:00,0 days 13:46:00,0 days 18:10:00
163,2023-03-07,0 days 08:32:00,0 days 12:09:00,0 days 13:42:00,0 days 18:11:00
164,2023-03-06,0 days 08:31:00,0 days 12:24:00,0 days 13:54:00,0 days 18:25:00
165,2023-03-03,0 days 08:32:00,0 days 12:22:00,0 days 13:56:00,0 days 18:03:00
166,2023-03-02,0 days 08:31:00,0 days 12:19:00,0 days 13:46:00,0 days 18:22:00
167,2023-03-01,0 days 08:31:00,0 days 12:06:00,0 days 13:46:00,0 days 18:19:00
168,2023-02-28,0 days 08:31:00,0 days 12:14:00,0 days 13:41:00,0 days 18:09:00
169,2023-02-27,0 days 08:29:00,0 days 12:08:00,0 days 13:40:00,0 days 18:14:00
170,2023-02-24,0 days 08:29:00,0 days 12:22:00,0 days 13:38:00,0 days 18:15:00
171,2023-08-23,0 days 08:29:00,0 days 12:14:00,0 days 13:53:00,0 days 18:16:00
172,2023-08-22,0 days 08:37:00,0 days 12:22:00,0 days 13:29:00,0 days 18:20:00
173,2023-08-21,0 days 08:34:00,0 days 12:06:00,0 days 13:47:00,0 days 18:08:00
